Sample	input_raw_reads	fastp	bowtie
SRR6028637	10321960	7040206	7039135
SRR6028638	11685929	8857926	8854915
SRR6028639	12489860	9399252	9399128
SRR6028640	11510986	8187638	8061479
SRR6028641	8690959	6723878	6723613
SRR6028642	20494148	14655246	14647068
SRR6028643	16744069	10334667	10315072
SRR6028644	10826647	7521683	7515632
SRR6028645	20273010	12909872	12908119
SRR6028646	13062367	9510472	9509672
SRR6028647	9906622	6575768	6575447
SRR6028648	5846667	4104123	4102733
SRR6028649	9889339	6663133	6661980
SRR6028650	5826486	3615297	3614251
SRR6028651	3563862	2300396	2295859
SRR6028652	10380074	6626849	6626259
SRR6028653	10803046	8027964	8027530
SRR6028654	10110818	6918498	6915064
SRR6028655	8264160	4841014	4835042
SRR6028656	8322916	5642357	5642203
SRR6028657	12027443	8642727	8641799
SRR6028658	11743361	8217126	8216873
SRR6028659	8117551	5397214	5393838
SRR6028660	13536115	9390428	9390083
SRR6054416	11708624	7745173	7739947
SRR6054417	22644559	16417268	16409353
SRR6054418	8426153	6244470	6243244
SRR6054419	4564302	3297362	3297318
SRR6054420	7177537	4743939	4743618
SRR6054421	14161893	9252452	9249858
SRR6054422	16010993	12100492	12097627
SRR6054423	5173746	3300143	3299964
SRR6054424	14562200	11043592	11043048
SRR6054425	12402751	8714809	8711202
SRR6054426	13768804	9983479	9981547
SRR6054427	15153444	11504533	11503976
SRR6054428	8009433	5720009	5719706
SRR6054429	13293093	9399077	9393499
SRR6054430	11981126	8951043	8937052
SRR6054431	11756304	8740642	8739503
SRR6054432	9468105	6654336	6653250
SRR6054433	12630060	8686015	8676566
SRR6054434	10914819	7374881	7368854
SRR6054435	12532037	8981394	8980777
SRR6054436	10188504	6938161	6921585
SRR6054437	659782	407221	407148
SRR6054438	12345239	8355225	8351344
SRR6054439	11005044	8183252	8133107
SRR6054440	10075224	7036504	7035479
SRR6054441	5644043	3452690	3452558
SRR6054442	8476150	5654609	4972926
SRR6054443	11995042	8220645	8219703
SRR6054444	8445414	6268422	6268239
SRR6054445	9049496	6259314	6259010
SRR6054446	14913820	11157566	11156734
SRR6054447	9772568	6281646	6271391
SRR6054448	11962591	8206161	8206048
SRR6054449	8333627	5962607	5959873
SRR6054450	8972462	6223553	6221413
SRR6054451	20030191	14931962	14853139
SRR6054452	9644907	7145736	7145430
SRR6054453	7444155	5678204	5677926
SRR6054454	7988455	5509431	5509346
SRR6054455	9483126	7050803	7050507
SRR6054456	10305467	8010424	8009848
SRR6054457	10868206	7082899	7082591
SRR6054458	8754476	6602407	6601636
SRR6054459	10526412	7647910	7646815
SRR6054460	11635818	7035820	7033859
SRR6054461	3676230	2318113	2317393
SRR6054462	4789376	3260801	3259749
SRR6054463	11449434	8587869	8587129
SRR6054464	11371835	7870831	7865420
SRR6054465	13832879	8940556	8939407
SRR6054466	8259747	5759317	5756605
SRR6054467	6683566	4812350	4800861
SRR6054468	11089929	8412754	8410103
SRR6054469	12799204	9422441	9422055
SRR6054470	13662032	9533948	9533699
SRR6054471	18453634	12831248	12828813
SRR6054472	6190966	4230229	4229298
SRR6054473	10647878	6956979	6956299
SRR6054474	11772673	8978368	8975806
SRR6054475	9454471	7305249	7302081
SRR6054476	12130746	8694124	8682679
SRR6054477	10286631	7759002	7735412
SRR6054478	5605993	3575151	3574245
SRR6054479	9627829	7359819	7358717
SRR6054480	12176785	7760207	7756690
SRR6054481	8572265	5940208	5939587
SRR6054482	13449692	9609309	9586732
SRR6054483	16440221	12258315	12240470
SRR6054484	8496813	5993718	5992792
SRR6054485	6109702	4346960	4344578
SRR6054486	8789017	6605244	6602050
SRR6054487	13496535	10230969	10226343
SRR6054488	11809359	8244814	8234981
SRR6054489	16559165	12176976	12172400
SRR6054490	11431630	8841132	8836549
SRR6054491	4025196	2351451	2351202
SRR6054492	8821809	6161654	6159949
SRR6054493	10326698	6512452	6512307
SRR6054494	17800697	11944900	11941161
SRR6054495	9163682	6962696	6962553
SRR6054496	10107906	7566857	7561950
SRR6054497	13921031	10728495	10722801
SRR6054498	6809465	4527117	4525688
SRR6054499	209130	106990	106798
SRR6054500	12371061	8801903	8797130
SRR6054501	10371163	7225216	7224812
SRR6054502	8855991	6415467	6412321
SRR6054503	8396904	5835229	5832559
SRR6054504	9026851	5827897	5826585
SRR6054505	7994850	5867370	5867102
SRR6054506	10062839	7632696	7632623
SRR6054507	15488477	11315993	11315744
SRR6054508	10502377	7466583	7465800
SRR6054509	9501201	6038417	6036642
SRR6054510	2160402	1544265	1543978
SRR6054511	13008591	9312798	9311900
SRR6054512	14944301	10933858	10933586
SRR6054513	16389034	12322708	12317313
SRR6054514	10303328	7724722	7722567
SRR6054515	10408600	7931470	7931395
SRR6054516	11793897	8347273	8345208
SRR6054517	2972783	2020913	2019306
SRR6054518	6072400	3903238	3899864
SRR6054519	12960674	9511391	9511186
SRR6054520	5492005	3368618	3368127
SRR6054521	12097732	7721878	7721521
SRR6054522	2678210	1774901	1774050
SRR6054523	7011638	4224071	4220708
SRR6054524	12275634	8254361	8248177
SRR6054525	4225575	2499240	2495473
SRR6054526	6885385	4712987	4689980
SRR6054527	11580076	7604378	7603408
SRR6054528	12325662	9206668	9205611
SRR6054529	10329720	7852638	7851820
SRR6054530	14622408	11057108	11052505
SRR6054531	10825132	7250949	7249508
SRR6054532	10348393	7185147	7183708
SRR6054533	12774917	8281730	8279564
SRR6054534	17629309	11487135	11485610
SRR6054535	9502508	6239999	6239651
SRR6054536	14332516	11213000	11210793
SRR6054537	9062381	6601056	6597213
SRR6054538	10115930	7509929	7504566
SRR6054539	9609667	5990204	5989818
SRR6054540	8599560	6170439	6169546
SRR6054541	9175258	5824941	5815665
SRR6054542	14015255	9875313	9865949
SRR6054543	13312878	9429900	9402714
SRR6054544	9852915	7502347	7502113
SRR6054545	13084108	8944077	8942960
SRR6054546	16271410	12603804	12601645
SRR6054547	9663682	6177821	6077722
SRR6054548	13811061	9584622	8985473
SRR6054549	7268877	4734025	4702534
SRR6054550	9515857	5926247	5909681
SRR6054551	13271670	9674965	9674764
SRR6054552	9318900	6656414	6655497
SRR6054553	9456912	7160826	7156367
SRR6054554	9938485	6554834	6553598
SRR6054555	13450619	8811781	8809639
SRR6054556	11420235	7870052	7869778
SRR6054557	2978266	2095374	2094729
SRR6054558	6637737	4272510	4271687
SRR6054559	9851060	6879224	6878682
SRR6054560	2110287	1604092	1601676
SRR6054561	8566142	6084036	6079056
SRR6054562	11512734	8346658	8346120
SRR6054563	13685041	9533776	9525949
SRR6054564	10975812	8463622	8454865
SRR6054565	10170320	7289194	7288945
SRR6054566	8646540	5769350	5768679
SRR6054567	11000770	7690599	7687238
SRR6054568	10533918	7883599	7882703
SRR6054569	10396510	8054547	8054117
SRR6054570	8147604	5955087	5954139
SRR6054571	10003624	6828246	6827637
SRR6054572	7541586	5742548	5742142
SRR6054573	9854233	6251880	6251686
SRR6054574	13009013	9864880	4483020
SRR6054575	14971043	10318382	8774576
SRR6054576	8802436	6028200	6026879
SRR6054577	11933254	7776988	7735452
SRR6054578	7901830	5787741	131063
SRR6054579	17494851	12417524	12191770
SRR6054580	16715313	12349570	12348526
SRR6054581	7073691	4739131	4738759
SRR6054582	12250050	9246963	9244652
SRR6054583	17455107	12599955	12598660
SRR6054584	9369366	6558763	6557222
SRR6054585	8520526	6567280	6565730
SRR6054586	12333803	9570209	9569862
SRR6054587	10787791	7795930	7794574
SRR6054588	15069615	10831705	10830594
SRR6054589	19807970	14880846	14874615
SRR6054590	7252167	5068175	5066182
SRR6054591	6064842	4094405	4093341
SRR6054592	13390380	10180301	10177378
SRR6054593	9970238	6888659	6888370
SRR6054594	8554012	5794758	5794523
SRR6054595	15450112	10626273	10615527
SRR6054596	17311705	13310639	13303235
SRR6054597	11476121	8006212	8005315
SRR6054598	11564493	8523015	8522897
SRR6054599	13161897	9698123	9697445
SRR6054600	10018720	7234033	7231014
SRR6054601	9410624	6904169	6900720
SRR6054602	8019614	5697060	5693111
SRR6054603	13458609	9508525	9506785
SRR6054604	1767137	1188799	1187886
SRR6054605	15364383	11344417	11339498
SRR6054606	3698819	2881685	2881316
SRR6054607	15046437	9546954	9545181
SRR6054608	8855446	6296434	6296291
SRR6054609	10401348	7845439	7842965
SRR6054610	11713957	8847008	8840424
SRR6054611	18827964	13889012	13888109
SRR6054612	14866946	11553416	11551886
SRR6054613	9907244	6393396	6391917
SRR6054614	9830468	6885486	6885104
SRR6054615	17387004	13194057	13192077
SRR6054616	20755974	14827678	14823514
SRR6054617	14128051	9972048	9900875
SRR6054618	8962479	6358959	6358205
SRR6054619	12547005	8815658	8813985
SRR6054620	10018902	7744838	7743634
SRR6054621	11670026	8090020	8089767
SRR6054622	9036342	6009742	6007565
SRR6054623	6314615	4299467	4297731
SRR6054624	12410143	9376819	9373330
SRR6054625	8021292	5890642	5883037
SRR6054626	13454574	10176251	10175485
SRR6054627	11553843	8417634	8414641
SRR6054628	8490932	5850789	5844281
SRR6054629	2282039	1738540	1735178
SRR6054630	14608048	10270694	10255196
SRR6054631	11370462	8329212	8327491
SRR6054632	7083852	4708324	4696613
SRR6054633	9668903	6707663	6706281
SRR6054634	15845466	11926300	11925233
SRR6054635	7337620	5035780	5032880
