Sample	input_raw_reads	fastp	bowtie
SRR9224344	8867319	7580006	7580005
SRR9224345	3650664	3222685	3222684
SRR9224346	5075100	4622194	4622191
SRR9224347	6340308	5680192	5680191
SRR9224348	4289601	3736448	3736443
SRR9224349	5184134	4555827	4555824
SRR9224350	7869802	6980526	6980524
SRR9224351	10076657	8838394	8838394
SRR9224352	6360668	5611887	5611884
SRR9224353	18582121	16651859	16651854
SRR9224354	8363743	7546237	7546237
SRR9224355	4626290	4039243	4039241
SRR9224356	4964708	4748376	4748376
SRR9224357	5898753	4853560	4853559
SRR9224358	22572660	20566024	20566024
SRR9224359	3965951	3040880	3040880
SRR9224360	6293056	5357320	5357316
SRR9224361	7400058	6631972	6631967
SRR9224362	4477227	3676146	3676139
SRR9224363	7389994	6401531	6401529
SRR9224364	5911123	4993582	4993582
SRR9224365	7052253	5806647	5806645
SRR9224366	10815760	9145406	9145406
SRR9224367	8481007	7641746	7641742
SRR9224368	2589168	1939985	1939982
SRR9224369	8128719	7140647	7140644
SRR9224370	10711646	9463634	9463632
SRR9224371	11570942	9957178	9957175
SRR9224372	5146669	4546912	4546909
SRR9224373	29138553	26052423	26052422
SRR9224374	19955914	18206634	18206628
SRR9224375	31747921	28300199	28300191
SRR9224376	28232017	25063872	25063864
SRR9224377	4477653	4017875	4017866
SRR9224378	28872766	24739680	24739668
SRR9224379	10598013	10210771	10210771
SRR9224380	11960472	11514649	11514634
SRR9224381	10030498	9594005	9594003
SRR9224382	7441299	7145143	7145142
SRR9224383	8797732	8445227	8445226
SRR9224384	6577830	6306207	6306207
SRR9224385	7368830	7044131	7044131
SRR9224386	9628678	9270481	9270474
SRR9224387	7208547	6947569	6947569
SRR9224388	10043324	9198976	9198971
SRR9224389	6314957	5902336	5902336
SRR9224390	13799820	13284285	13284263
SRR9224391	7600396	7316541	7316541
SRR9224392	11463974	10899578	10899578
SRR9224393	10437238	10025767	10025767
SRR9224394	7434237	7142706	7142705
SRR9224395	7289875	6984608	6984607
SRR9224396	7953992	7638973	7638972
SRR9224397	6789454	6513469	6513468
SRR9224398	10264543	9878430	9878430
SRR9224399	10168227	9744142	9744130
SRR9224400	8239121	7891556	7891552
SRR9224401	8188266	7457387	7457381
SRR9224402	7636359	7328617	7328617
SRR9224403	5022967	4548589	4548584
SRR9224404	7093206	6593173	6593168
SRR9224405	7598134	6924445	6924443
SRR9224406	7444349	6937731	6937731
SRR9224407	26164852	23237682	23237669
SRR9224408	8564326	7937827	7937825
SRR9224409	15331319	13333952	13333948
SRR9224410	16392898	14256627	14256621
SRR9224411	20209141	18350514	18350507
SRR9224412	21439419	19383626	19383601
SRR9224413	19973671	18079879	18079877
SRR9224414	3214510	2851401	2851400
SRR9224415	8388274	6773880	6773880
SRR9224416	5672602	4647551	4647549
SRR9224417	10354579	8373641	8373639
SRR9224418	8522040	7493174	7493174
SRR9224419	5836756	4957586	4957546
SRR9224420	1699284	1524027	1524026
SRR9224421	7676535	6758478	6758475
SRR9224422	4630547	3996469	3996468
SRR9224423	6496445	5370452	5370450
SRR9224424	5524814	4525520	4525517
SRR9224425	5257928	4108475	4108474
SRR9224426	5997513	4972988	4972986
SRR9224427	11007675	9162658	9162655
SRR9224428	4942934	4428015	4428013
SRR9224429	5100831	4345423	4345419
SRR9224430	6915502	5812721	5812720
SRR9224431	9995295	8590100	8590099
SRR9224432	9235676	8820146	8820143
SRR9224433	11774086	11250074	11250072
SRR9224434	6625140	6382118	6382113
SRR9224435	7390262	7060054	7060054
SRR9224436	8551542	8043416	8043415
SRR9224437	7262705	6991149	6991148
SRR9224438	14790888	14288911	14288906
SRR9224439	14099286	13579825	13579821
SRR9224440	8633415	8080149	8080145
SRR9224441	11267134	10511974	10511974
SRR9224442	8275064	7976973	7976965
SRR9224443	12180836	11690780	11690779
SRR9224444	8230129	7634787	7634787
SRR9224445	10826730	10002115	10002113
SRR9224446	8221748	7453488	7453483
SRR9224447	9023721	8443209	8443209
SRR9224448	8194503	7558418	7558416
SRR9224449	5096312	4656863	4656862
SRR9224450	4505220	4154840	4154840
